Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Mes
12,20,21,22,24,26,28,6
10,15,16,17,19,21,30,10
4,6,11,15,19,21,22,8
3,11,12,16,24,29,31,9
2,4,19,20,23,26,27,12
5,10,21,25,26,29,31,4
3,8,9,20,21,23,27,3
4,8,9,13,20,23,30,12
7,9,10,13,20,22,25,3
1,11,12,13,17,29,31,10
11,13,18,21,23,25,27,8
3,7,14,21,24,26,27,3
5,15,17,22,26,28,31,6
14,15,16,17,22,24,29,12
10,13,17,20,22,26,28,6
2,9,11,16,22,24,30,3
2,3,6,9,10,15,26,5
4,6,7,14,15,22,31,6
5,10,11,20,22,29,31,9
2,6,15,18,21,22,23,7
2,4,7,9,15,22,26,3
5,16,23,25,27,28,29,8
1,12,17,25,26,28,29,2
5,7,10,11,13,17,23,9
3,4,10,18,22,24,28,10
6,13,19,21,23,27,28,3
1,2,5,8,15,24,25,5
8,14,16,21,25,30,31,8
1,2,14,17,23,25,26,8
7,8,9,10,12,14,30,4
2,3,7,10,20,30,31,8
2,7,15,19,20,23,24,4
6,12,17,19,21,23,31,11
3,4,6,7,10,24,31,9
1,3,5,7,20,22,29,3
4,9,11,25,26,29,30,4
1,2,9,14,16,25,29,11
4,5,7,11,13,18,30,12
1,10,11,15,19,20,22,8
4,5,12,13,16,25,26,2
10,14,17,20,25,27,29,10
10,14,16,24,28,30,31,1
6,12,14,16,18,27,31,9
3,4,8,11,19,26,27,1
4,9,10,12,13,19,21,1
3,6,9,12,16,21,22,3
2,11,17,20,28,30,31,3
4,8,10,14,20,27,29,2
3,8,11,13,23,24,30,10
3,8,11,17,19,21,26,8
7,9,20,23,25,27,31,10
2,3,10,13,17,24,31,9
